sample,total_count,population,count,percentage
sample00000,93214,b_cell,10908,11.702104834037806
sample00000,93214,cd8_t_cell,24440,26.21923745360139
sample00000,93214,cd4_t_cell,20491,21.98274937241187
sample00000,93214,nk_cell,13864,14.873302293646876
sample00000,93214,monocyte,23511,25.222606046302058
sample00001,100824,b_cell,6777,6.721613901452035
sample00001,100824,cd8_t_cell,19407,19.248393239704832
sample00001,100824,cd4_t_cell,33459,33.1855510592716
sample00001,100824,nk_cell,18170,18.021502816789653
sample00001,100824,monocyte,23011,22.822938982781878
sample00002,92822,b_cell,9794,10.551377906099846
sample00002,92822,cd8_t_cell,22940,24.713968671220186
sample00002,92822,cd4_t_cell,24274,26.15112796535304
sample00002,92822,nk_cell,17482,18.83389713645472
sample00002,92822,monocyte,18332,19.74962832087221
sample00003,93160,b_cell,10081,10.821167883211679
sample00003,93160,cd8_t_cell,20271,21.75933877200515
sample00003,93160,cd4_t_cell,36157,38.81172176899957
sample00003,93160,nk_cell,14041,15.071919278660369
sample00003,93160,monocyte,12610,13.53585229712323
sample00004,107903,b_cell,4372,4.05178725336645
sample00004,107903,cd8_t_cell,33778,31.304041592912153
sample00004,107903,cd4_t_cell,38293,35.48835528205888
sample00004,107903,nk_cell,16527,15.316534294690602
sample00004,107903,monocyte,14933,13.83928157697191
sample00005,105359,b_cell,15431,14.646114712554219
sample00005,105359,cd8_t_cell,31940,30.315397830275533
sample00005,105359,cd4_t_cell,30805,29.23812868383337
sample00005,105359,nk_cell,11404,10.823944798261182
sample00005,105359,monocyte,15779,14.976413975075694
sample00006,99774,b_cell,5897,5.910357407741496
sample00006,99774,cd8_t_cell,31296,31.366889169523123
sample00006,99774,cd4_t_cell,28319,28.38314590975605
sample00006,99774,nk_cell,12656,12.684667348206947
sample00006,99774,monocyte,21606,21.654940164772384
sample00007,98424,b_cell,10403,10.569576526050557
sample00007,98424,cd8_t_cell,13504,13.72023083800699
sample00007,98424,cd4_t_cell,33870,34.4123384540356
sample00007,98424,nk_cell,22616,22.978135414126637
sample00007,98424,monocyte,18031,18.319718767780216
sample00008,90353,b_cell,8829,9.771673325733511
sample00008,90353,cd8_t_cell,26215,29.01397850652441
sample00008,90353,cd4_t_cell,21307,23.581950793000786
sample00008,90353,nk_cell,17624,19.505716467632507
sample00008,90353,monocyte,16378,18.126680907108785
sample00009,95821,b_cell,7650,7.9836361549138495
sample00009,95821,cd8_t_cell,33334,34.787781384038986
sample00009,95821,cd4_t_cell,21097,22.01709437388464
sample00009,95821,nk_cell,18064,18.851817451289385
sample00009,95821,monocyte,15676,16.359670635873137
sample00010,107537,b_cell,13203,12.277634674577122
sample00010,107537,cd8_t_cell,21339,19.84340273580256
sample00010,107537,cd4_t_cell,27873,25.919450979662813
sample00010,107537,nk_cell,13209,12.283214149548527
sample00010,107537,monocyte,31913,29.676297460408975
sample00011,89815,b_cell,10621,11.825418916662027
sample00011,89815,cd8_t_cell,19786,22.029727773757166
sample00011,89815,cd4_t_cell,29391,32.72393252797417
sample00011,89815,nk_cell,13520,15.053164838835384
sample00011,89815,monocyte,16497,18.367755942771254
sample00012,109579,b_cell,14128,12.89298131941339
sample00012,109579,cd8_t_cell,21720,19.821316128090235
sample00012,109579,cd4_t_cell,40320,36.79537137590232
sample00012,109579,nk_cell,14609,13.331934038456273
sample00012,109579,monocyte,18802,17.158397138137783
sample00013,109488,b_cell,10681,9.755406985240391
sample00013,109488,cd8_t_cell,19994,18.261361975741632
sample00013,109488,cd4_t_cell,31697,28.95020458863072
sample00013,109488,nk_cell,25043,22.872826245798628
sample00013,109488,monocyte,22073,20.16020020458863
sample00014,92904,b_cell,6113,6.579910445190735
sample00014,92904,cd8_t_cell,25851,27.825497287522605
sample00014,92904,cd4_t_cell,27223,29.30229053646775
sample00014,92904,nk_cell,9254,9.960819770946353
sample00014,92904,monocyte,24463,26.331481959872555
sample00015,102691,b_cell,8261,8.044521915260344
sample00015,102691,cd8_t_cell,21523,20.958993485310298
sample00015,102691,cd4_t_cell,36217,35.26793974155476
sample00015,102691,nk_cell,15753,15.340195343311487
sample00015,102691,monocyte,20937,20.388349514563107
sample00016,95824,b_cell,7433,7.756929370512607
sample00016,95824,cd8_t_cell,22881,23.87815161128736
sample00016,95824,cd4_t_cell,33881,35.35753047253298
sample00016,95824,nk_cell,9432,9.843045583569879
sample00016,95824,monocyte,22197,23.164342962097177
sample00017,98639,b_cell,3226,3.27051166374355
sample00017,98639,cd8_t_cell,20404,20.6855300641734
sample00017,98639,cd4_t_cell,36405,36.90730846825292
sample00017,98639,nk_cell,20739,21.02515232311763
sample00017,98639,monocyte,17865,18.111497480712497
sample00018,101123,b_cell,3578,3.5382652808955433
sample00018,101123,cd8_t_cell,29520,29.1921719094568
sample00018,101123,cd4_t_cell,32675,32.31213472701562
sample00018,101123,nk_cell,15537,15.36445714624764
sample00018,101123,monocyte,19813,19.592970936384404
sample00019,97405,b_cell,8022,8.235716852317642
sample00019,97405,cd8_t_cell,27175,27.89897849186387
sample00019,97405,cd4_t_cell,30759,31.578461064627074
sample00019,97405,nk_cell,10983,11.275601868487245
sample00019,97405,monocyte,20466,21.011241722704174
sample00020,97228,b_cell,6382,6.563952770806764
sample00020,97228,cd8_t_cell,17469,17.96704652980623
sample00020,97228,cd4_t_cell,32731,33.664170814991564
sample00020,97228,nk_cell,18056,18.570782079236434
sample00020,97228,monocyte,22590,23.23404780515901
sample00021,100750,b_cell,10337,10.260049627791563
sample00021,100750,cd8_t_cell,19144,19.001488833746897
sample00021,100750,cd4_t_cell,31535,31.300248138957816
sample00021,100750,nk_cell,12763,12.667990074441688
sample00021,100750,monocyte,26971,26.770223325062034
sample00022,92670,b_cell,9563,10.319412970756447
sample00022,92670,cd8_t_cell,22424,24.19769073054926
sample00022,92670,cd4_t_cell,32814,35.40951764325024
sample00022,92670,nk_cell,11565,12.479766914859178
sample00022,92670,monocyte,16304,17.593611740584873
